City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
60,Lasa,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
61,Kalmunai,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
62,Saint-Nazaire,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
63,Fort-Shevchenko,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
64,Saleaula,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
65,Mar Del Plata,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
66,Coquimbo,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
67,Touros,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
68,Goderich,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
69,Leningradskiy,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
70,Upernavik,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
71,Dzhusaly,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
72,Tuktoyaktuk,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
73,Hithadhoo,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
74,Skibbereen,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
75,Amazar,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
76,Eatonton,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
77,Vanino,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
78,Oxapampa,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
79,Goundam,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
80,Port-Gentil,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
81,Mpraeso,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
82,Berlevag,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
83,Nehe,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
84,Sarh,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
85,Hamilton,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
86,Karratha,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
87,Tequila,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
88,Mashhad,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
89,Cherskiy,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
90,Haines Junction,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
91,Kysyl-Syr,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
92,Xining,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
93,Satitoa,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
94,Samusu,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
95,Yamada,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
96,Oranjemund,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
97,Guarapari,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
98,Saint-Philippe,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
99,Manokwari,CA,2021-09-12 23:04:19,47.6666,-52.7314,60.58,74,1,3.0
100,Mercedes,AR,2021-09-12 23:04:20,-34.6515,-59.4307,68.85,92,57,8.41
101,Tabou,AR,2021-09-12 23:04:20,-34.6515,-59.4307,68.85,92,57,8.41
102,Butaritari,AR,2021-09-12 23:04:20,-34.6515,-59.4307,68.85,92,57,8.41
103,Camacha,AR,2021-09-12 23:04:20,-34.6515,-59.4307,68.85,92,57,8.41
104,Muriti,AR,2021-09-12 23:04:20,-34.6515,-59.4307,68.85,92,57,8.41
105,Provideniya,AR,2021-09-12 23:04:20,-34.6515,-59.4307,68.85,92,57,8.41
106,Henties Bay,AR,2021-09-12 23:04:20,-34.6515,-59.4307,68.85,92,57,8.41
107,East London,AR,2021-09-12 23:04:20,-34.6515,-59.4307,68.85,92,57,8.41
108,Arman,AR,2021-09-12 23:04:20,-34.6515,-59.4307,68.85,92,57,8.41
109,Puerto Escondido,AR,2021-09-12 23:04:20,-34.6515,-59.4307,68.85,92,57,8.41
110,Kloulklubed,AR,2021-09-12 23:04:20,-34.6515,-59.4307,68.85,92,57,8.41
111,Aktau,AR,2021-09-12 23:04:20,-34.6515,-59.4307,68.85,92,57,8.41
112,Gat,AR,2021-09-12 23:04:20,-34.6515,-59.4307,68.85,92,57,8.41
113,Saint George,AR,2021-09-12 23:04:20,-34.6515,-59.4307,68.85,92,57,8.41
