City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
93,Geraldton,AU,55.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
94,Grand Gaube,MU,70.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
95,Trat,TH,73.56,light rain,12.5,102.5,สวนหนิง-อัศ
96,Vila Franca Do Campo,PT,68.41,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
97,Bend,US,59.49,broken clouds,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
98,Airai,TL,58.14,scattered clouds,-8.9266,125.4092,Juvinal Martin
99,Kruisfontein,ZA,51.89,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
101,Meulaboh,ID,73.0,moderate rain,4.1363,96.1285,Kost Pria
102,Boyolangu,ID,73.33,scattered clouds,-8.1181,111.8935,Yos ega cv
103,Bereda,ES,55.99,broken clouds,43.2686,-7.5406,Pazo de Verdes
106,Kavieng,PG,82.56,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
108,Coolum Beach,AU,69.33,clear sky,-26.5333,153.1,Palmer Coolum Resort
109,Kisangani,CD,68.38,light rain,0.5167,25.2,Grand Ramela Hotel
110,Faanui,PF,77.77,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
111,Chichihualco,MX,75.18,overcast clouds,17.6833,-99.65,Hotel Casa Blanca
112,San Quintin,MX,71.94,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
113,Lagoa,PT,68.65,broken clouds,39.05,-27.9833,Casa Das Faias
116,Peque,CO,70.5,overcast clouds,7.0212,-75.9093,Hotel Rodizzio
117,Vestmannaeyjar,IS,50.16,overcast clouds,63.4427,-20.2734,Glamping & Camping
120,Cochrane,CA,65.39,few clouds,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
121,Nannilam,IN,81.34,broken clouds,10.8793,79.6106,RAJA RANI LODGE
123,Lebu,CL,51.12,clear sky,-37.6167,-73.65,Hostal Las Lilas
125,Flinders,AU,67.05,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
126,Kuching,MY,75.42,light rain,1.55,110.3333,The Ranee Boutique Suites
127,Saint Albans,GB,60.31,scattered clouds,51.75,-0.3333,Quality Hotel St. Albans
130,Grindavik,IS,48.67,light intensity drizzle rain,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
133,Kenitra,MA,69.84,broken clouds,34.261,-6.5802,Bienvenue chez vous
134,Teguise,ES,70.02,scattered clouds,29.0605,-13.564,B&B La Casona de Nazaret
135,Phuntsholing,BT,75.6,broken clouds,26.8516,89.3884,Hotel White House
136,Santa Isabel Do Rio Negro,BR,79.47,broken clouds,-0.4139,-65.0192,Hotel GSA
138,Rio Grande,BR,66.31,heavy intensity rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
139,Carnarvon,AU,59.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
140,Georgetown,MY,80.53,scattered clouds,5.4112,100.3354,Cititel Penang
